0, score: 40.0 [40.0,40.0,40.0,40.0,40.0] dev: 0.0, states: 5
500, score: 1740.0 [1850.0,2210.0,2200.0,1380.0,1060.0] dev: 509.06778, states: 1238
1500, score: 2078.0 [2070.0,2880.0,2290.0,2070.0,1080.0] dev: 648.89905, states: 2589
6500, score: 2440.0 [2290.0,2340.0,2440.0,2370.0,2760.0] dev: 186.94919, states: 4140
16500, score: 3178.0 [3160.0,3420.0,3880.0,2010.0,3420.0] dev: 702.58093, states: 5445
26500, score: 4086.0 [4060.0,3490.0,5020.0,4770.0,3090.0] dev: 819.77435, states: 6343
36500, score: 3186.0 [3020.0,2960.0,3320.0,3080.0,3550.0] dev: 245.11221, states: 7031
46500, score: 3172.0 [2850.0,3740.0,2410.0,4420.0,2440.0] dev: 880.3806, states: 7624
56500, score: 4248.0 [3250.0,3640.0,3180.0,5230.0,5940.0] dev: 1258.3203, states: 8115
66500, score: 3864.0 [2540.0,2380.0,3450.0,5570.0,5380.0] dev: 1527.6877, states: 8492
76500, score: 5418.0 [4070.0,4470.0,5510.0,6580.0,6460.0] dev: 1135.8125, states: 8841
86500, score: 4552.0 [5450.0,4450.0,4270.0,6550.0,2040.0] dev: 1673.2065, states: 9165
96500, score: 5030.0 [5190.0,9150.0,4660.0,2710.0,3440.0] dev: 2502.369, states: 9456
106500, score: 4756.0 [4250.0,3950.0,5850.0,4750.0,4980.0] dev: 733.60754, states: 9758
116500, score: 4468.0 [4450.0,4210.0,4010.0,5710.0,3960.0] dev: 720.6386, states: 10020
126500, score: 4282.0 [4080.0,4890.0,4670.0,3240.0,4530.0] dev: 653.5059, states: 10237
136500, score: 4822.0 [4580.0,4850.0,3800.0,6560.0,4320.0] dev: 1046.002, states: 10445
146500, score: 4458.0 [3470.0,3510.0,4950.0,2890.0,7470.0] dev: 1847.1383, states: 10628
156500, score: 4672.0 [4930.0,3490.0,7300.0,2370.0,5270.0] dev: 1872.6238, states: 10795
166500, score: 5004.0 [5620.0,6530.0,3540.0,6300.0,3030.0] dev: 1614.599, states: 10928
