0	0
1	277.1666666666667
2	554.0
3	1250.5
4	2210.8333333333335
5	3703.5
6	5120.166666666667
7	7895.000000000002
8	10917.833333333334
9	10465.333333333332
10	14286.5
11	8987.999999999998
12	13538.666666666666
13	12943.499999999998
14	10752.833333333332
15	12873.833333333332
16	12730.833333333332
17	13696.333333333334
18	16749.666666666668
19	12286.833333333332
20	10865.666666666666
21	11741.166666666666
22	10134.666666666668
23	13131.333333333334
24	13142.833333333334
25	10861.499999999998
26	10623.833333333332
27	12531.166666666668
28	11062.833333333332
29	14906.0
30	12479.0
31	12754.666666666668
32	11585.166666666666
33	12049.833333333332
34	10730.833333333334
35	12974.166666666668
36	12360.333333333332
37	11619.166666666668
38	13644.333333333334
39	11395.333333333332
40	11870.333333333334
